N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,500",500,+0.62%,100,"4,865,373","5,969,783",54.68,"11,918,571",21.22,9.99,
2,SK하이닉스,"132,500","1,000",-0.75%,"5,000","964,603","728,002",50.03,"3,441,826",20.28,9.53,
3,NAVER,"379,000","8,000",-2.07%,100,"622,558","164,263",57.17,"522,859",62.16,15.22,
4,삼성전자우,"73,300",400,+0.55%,100,"603,176","822,887",78.11,"656,347",19.08,N/A,
5,LG화학,"787,000","3,000",+0.38%,"5,000","555,562","70,592",44.26,"383,416",120.17,2.93,
6,삼성바이오로직스,"720,000","4,000",+0.56%,"2,500","476,388","66,165",10.22,"30,800",197.69,N/A,
7,현대차,"217,500","3,500",-1.58%,"5,000","464,728","213,668",30.75,"893,151",42.29,2.04,
8,삼성SDI,"633,000","2,000",-0.31%,"5,000","435,279","68,765",43.17,"213,917",77.52,4.54,
9,카카오,"484,000","8,000",-1.63%,500,"429,330","88,705",33.40,"330,735",272.52,2.70,
10,셀트리온,"305,000","5,000",+1.67%,"1,000","411,835","135,028",20.97,"399,568",82.06,16.68,
11,기아차,"81,600",200,-0.24%,"5,000","330,776","405,363",34.12,"2,622,293",22.23,5.05,
12,현대모비스,"285,500","2,500",+0.88%,"5,000","270,634","94,793",39.78,"295,543",17.75,4.66,
13,POSCO,"306,000",0,0.00%,"5,000","266,792","87,187",53.70,"309,852",16.65,3.61,
14,LG전자,"148,000","1,500",+1.02%,"5,000","242,199","163,648",30.98,"958,634",13.60,13.23,
15,LG생활건강,"1,547,000","6,000",+0.39%,"5,000","241,614","15,618",45.59,"21,194",34.36,17.92,
16,삼성물산,"122,500","4,000",+3.38%,100,"228,937","186,887",14.88,"534,207",22.40,3.81,
17,KB금융,"52,500","1,500",+2.94%,"5,000","218,299","415,808",68.51,"2,028,296",6.32,8.53,
18,SK텔레콤,"251,500","2,500",+1.00%,500,"203,075","80,746",37.20,"147,456",13.50,6.44,
19,엔씨소프트,"898,000","38,000",-4.06%,500,"197,147","21,954",50.64,"122,598",33.56,20.83,
20,SK이노베이션,"207,500","3,000",+1.47%,"5,000","191,866","92,466",22.80,"868,443",-8.95,-13.58,
21,신한지주,"35,700",600,+1.71%,"5,000","184,426","516,600",59.71,"2,007,017",5.30,8.20,
22,SK,"253,500","9,500",+3.89%,200,"178,363","70,360",21.33,"336,515",94.94,1.11,
23,삼성생명,"75,700",500,+0.66%,500,"151,400","200,000",12.73,"197,839",11.96,3.53,
24,LG,"87,500","1,600",+1.86%,"5,000","150,987","172,557",35.13,"316,031",10.50,7.50,
25,아모레퍼시픽,"256,500",500,+0.20%,500,"149,946","58,458",33.01,"224,667",503.93,0.78,
26,한국전력,"23,050",250,+1.10%,"5,000","147,973","641,964",16.55,"2,856,062",7.43,2.91,
27,삼성에스디에스,"184,500",0,0.00%,500,"142,762","77,378",12.26,"68,402",32.19,6.71,
28,삼성전기,"185,500","1,000",-0.54%,"5,000","138,557","74,694",34.84,"239,294",23.83,10.92,
29,하나금융지주,"40,800",150,-0.37%,"5,000","122,499","300,242",68.52,"1,387,622",4.64,8.96,
30,포스코케미칼,"146,000","2,000",-1.35%,500,"113,096","77,463",7.14,"202,903",316.70,2.96,
31,KT&G,"80,600",300,+0.37%,"5,000","110,658","137,292",39.83,"298,382",9.44,13.22,
32,넷마블,"126,000","2,000",+1.61%,100,"108,285","85,940",23.63,"168,671",34.55,6.35,
33,롯데케미칼,"307,500","4,000",+1.32%,"5,000","105,397","34,275",26.20,"134,378",66.52,1.22,
34,SK바이오사이언스,"136,500",0,0.00%,500,"104,422","76,500",3.34,"852,832",312.36,6.50,
35,HMM,"28,900",250,-0.86%,"5,000","95,590","330,763",11.46,"10,903,777",75.26,8.93,
36,한온시스템,"17,600",350,-1.95%,100,"93,949","533,800",19.55,"1,601,665",85.02,5.09,
37,대한항공,"26,950",200,+0.75%,"5,000","93,738","347,821",10.88,"2,222,000",-22.74,-7.22,
38,한화솔루션,"47,850","2,850",+6.33%,"5,000","91,527","191,278",17.24,"5,305,415",25.96,5.30,
39,S-Oil,"79,500",800,+1.02%,"2,500","89,503","112,583",75.84,"286,595",-11.64,-13.07,
40,삼성화재,"188,000","4,000",+2.17%,500,"89,065","47,375",46.14,"88,438",12.59,4.96,
41,한국조선해양,"117,500",0,0.00%,"5,000","83,158","70,773",17.09,"159,141",-9.97,-7.42,
42,SK바이오팜,"105,000","1,500",-1.41%,500,"82,229","78,313",9.14,"234,974",-30.51,-135.18,
43,빅히트,"221,000","2,000",+0.91%,500,"78,728","35,624",7.83,"76,523",N/A,12.52,
44,LG디스플레이,"21,900",300,-1.35%,"5,000","78,362","357,816",23.92,"1,312,266",-87.60,-0.79,
45,고려아연,"401,500","1,000",-0.25%,"5,000","75,763","18,870",22.34,"29,763",13.22,8.37,
46,KT,"27,800",100,+0.36%,"5,000","72,589","261,112",42.86,"1,367,083",11.03,4.76,
